GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,E2E_Latency,StepRuntime
795.000,73.863669000,.002,5.223036000,949.000,1823.088705000,4592.000
789.000,73.863669000,.003,5.223036000,867.000,1735.089705000,4457.000
785.000,73.863669000,.003,5.223036000,956.000,1820.089705000,4551.000
798.000,73.863669000,.003,5.223036000,978.000,1855.089705000,4653.000
797.000,73.863669000,.002,5.223036000,974.000,1850.088705000,4672.000
794.000,73.863669000,.002,5.223036000,932.000,1805.088705000,4541.000
799.000,73.863669000,.004,5.223036000,1022.000,1900.090705000,4699.000
778.000,73.863669000,.003,5.223036000,927.000,1784.089705000,4496.000
786.000,73.863669000,.003,5.223036000,966.000,1831.089705000,4602.000
801.000,73.863669000,.003,5.223036000,960.000,1840.089705000,4577.000
793.000,73.863669000,.003,5.223036000,952.000,1824.089705000,4570.000
785.000,73.863669000,.002,5.223036000,949.000,1813.088705000,4525.000
796.000,73.863669000,.003,5.223036000,948.000,1823.089705000,4591.000
793.000,73.863669000,.003,5.223036000,903.000,1775.089705000,4543.000
802.000,73.863669000,.003,5.223036000,981.000,1862.089705000,4608.000
796.000,73.863669000,.003,5.223036000,949.000,1824.089705000,4549.000
805.000,73.863669000,.003,5.223036000,949.000,1833.089705000,4603.000
804.000,73.863669000,.003,5.223036000,971.000,1854.089705000,4648.000
792.000,73.863669000,.003,5.223036000,986.000,1857.089705000,4606.000
788.000,73.863669000,.003,5.223036000,908.000,1775.089705000,4542.000
782.000,73.863669000,.003,5.223036000,908.000,1769.089705000,4501.000
787.000,73.863669000,.003,5.223036000,919.000,1785.089705000,4559.000
805.000,73.863669000,.002,5.223036000,980.000,1864.088705000,4611.000
797.000,73.863669000,.003,5.223036000,941.000,1817.089705000,4562.000
794.000,73.863669000,.003,5.223036000,971.000,1844.089705000,4607.000
807.000,73.863669000,.003,5.223036000,898.000,1784.089705000,4524.000
797.000,73.863669000,.003,5.223036000,951.000,1827.089705000,4561.000
802.000,73.863669000,.002,5.223036000,905.000,1786.088705000,4512.000
785.000,73.863669000,.003,5.223036000,951.000,1815.089705000,4587.000
799.000,73.863669000,.003,5.223036000,932.000,1810.089705000,4548.000
784.000,73.863669000,.002,5.223036000,964.000,1827.088705000,4545.000
798.000,73.863669000,.003,5.223036000,928.000,1805.089705000,4556.000
794.000,73.863669000,.003,5.223036000,952.000,1825.089705000,4563.000
782.000,73.863669000,.003,5.223036000,957.000,1818.089705000,4594.000
788.000,73.863669000,.003,5.223036000,917.000,1784.089705000,4545.000
800.000,73.863669000,.003,5.223036000,891.000,1770.089705000,4551.000
777.000,73.863669000,.003,5.223036000,1.000,857.089705000,3663.000
785.000,73.863669000,.003,5.223036000,971.000,1835.089705000,4602.000
797.000,73.863669000,.003,5.223036000,941.000,1817.089705000,4601.000
793.000,73.863669000,.002,5.223036000,892.000,1764.088705000,4540.000
793.000,73.863669000,.003,5.223036000,908.000,1780.089705000,4517.000
801.000,73.863669000,.003,5.223036000,984.000,1864.089705000,4649.000
802.000,73.863669000,.003,5.223036000,958.000,1839.089705000,4567.000
789.000,73.863669000,.002,5.223036000,954.000,1822.088705000,4578.000
782.000,73.863669000,.002,5.223036000,896.000,1757.088705000,4502.000
810.000,73.863669000,.003,5.223036000,945.000,1834.089705000,4596.000
786.000,73.863669000,.003,5.223036000,957.000,1822.089705000,4604.000
786.000,73.863669000,.003,5.223036000,1021.000,1886.089705000,4661.000
805.000,73.863669000,.003,5.223036000,899.000,1783.089705000,4535.000
802.000,73.863669000,.003,5.223036000,1031.000,1912.089705000,4670.000
797.000,73.863669000,.004,5.223036000,913.000,1789.090705000,4562.000
798.000,73.863669000,.003,5.223036000,914.000,1791.089705000,4510.000
798.000,73.863669000,.003,5.223036000,962.000,1839.089705000,4568.000
803.000,73.863669000,.004,5.223036000,962.000,1844.090705000,4612.000
807.000,73.863669000,.003,5.223036000,969.000,1855.089705000,4649.000
794.000,73.863669000,.003,5.223036000,970.000,1843.089705000,4608.000
792.000,73.863669000,.004,5.223036000,923.000,1794.090705000,4594.000
796.000,73.863669000,.003,5.223036000,899.000,1774.089705000,4572.000
799.000,73.863669000,.003,5.223036000,972.000,1850.089705000,4638.000
818.000,73.863669000,.003,5.223036000,896.000,1793.089705000,4566.000
805.000,73.863669000,.003,5.223036000,983.000,1867.089705000,4637.000
794.000,73.863669000,.003,5.223036000,971.000,1844.089705000,4606.000
802.000,73.863669000,.003,5.223036000,908.000,1789.089705000,4548.000
807.000,73.863669000,.004,5.223036000,939.000,1825.090705000,4644.000
792.000,73.863669000,.004,5.223036000,1.000,872.090705000,3624.000
810.000,73.863669000,.002,5.223036000,962.000,1851.088705000,4650.000
809.000,73.863669000,.003,5.223036000,948.000,1836.089705000,4599.000
802.000,73.863669000,.003,5.223036000,910.000,1791.089705000,4505.000
795.000,73.863669000,.003,5.223036000,979.000,1853.089705000,4638.000
780.000,73.863669000,.003,5.223036000,967.000,1826.089705000,4602.000
795.000,73.863669000,.003,5.223036000,928.000,1802.089705000,4565.000
794.000,73.863669000,.003,5.223036000,957.000,1830.089705000,4585.000
794.000,73.863669000,.003,5.223036000,965.000,1838.089705000,4611.000
793.000,73.863669000,.003,5.223036000,971.000,1843.089705000,4641.000
795.000,73.863669000,.003,5.223036000,908.000,1782.089705000,4568.000
795.000,73.863669000,.003,5.223036000,959.000,1833.089705000,4599.000
805.000,73.863669000,.003,5.223036000,923.000,1807.089705000,4630.000
807.000,73.863669000,.004,5.223036000,890.000,1776.090705000,4551.000
790.000,73.863669000,.003,5.223036000,889.000,1758.089705000,4505.000
808.000,73.863669000,.003,5.223036000,903.000,1790.089705000,4596.000
799.000,73.863669000,.003,5.223036000,954.000,1832.089705000,4659.000
794.000,73.863669000,.003,5.223036000,906.000,1779.089705000,4547.000
785.000,73.863669000,.003,5.223036000,944.000,1808.089705000,4698.000
794.000,73.863669000,.004,5.223036000,954.000,1827.090705000,4606.000
792.000,73.863669000,.003,5.223036000,981.000,1852.089705000,4661.000
782.000,73.863669000,.003,5.223036000,912.000,1773.089705000,4537.000
797.000,73.863669000,.002,5.223036000,955.000,1831.088705000,4614.000
792.000,73.863669000,.003,5.223036000,988.000,1859.089705000,4651.000
797.000,73.863669000,.003,5.223036000,906.000,1782.089705000,4559.000
795.000,73.863669000,.002,5.223036000,955.000,1829.088705000,4598.000
800.000,73.863669000,.003,5.223036000,983.000,1862.089705000,4651.000
797.000,73.863669000,.003,5.223036000,936.000,1812.089705000,4598.000
802.000,73.863669000,.003,5.223036000,906.000,1787.089705000,4546.000
794.000,73.863669000,.003,5.223036000,959.000,1832.089705000,4614.000
801.000,73.863669000,.003,5.223036000,980.000,1860.089705000,4652.000
808.000,73.863669000,.003,5.223036000,916.000,1803.089705000,4559.000
794.000,73.863669000,.003,5.223036000,897.000,1770.089705000,4582.000
790.000,73.863669000,.003,5.223036000,1028.000,1897.089705000,4660.000
795.000,73.863669000,.002,5.223036000,972.000,1846.088705000,4598.000
800.000,73.863669000,.002,5.223036000,972.000,1851.088705000,4600.000
799.000,73.863669000,.003,5.223036000,996.000,1874.089705000,4606.000
794.000,73.863669000,.003,5.223036000,960.000,1833.089705000,4607.000
802.000,73.863669000,.003,5.223036000,907.000,1788.089705000,4546.000
801.000,73.863669000,.003,5.223036000,946.000,1826.089705000,4609.000
793.000,73.863669000,.004,5.223036000,1019.000,1891.090705000,4649.000
809.000,73.863669000,.003,5.223036000,887.000,1775.089705000,4553.000
805.000,73.863669000,.003,5.223036000,967.000,1851.089705000,4625.000
806.000,73.863669000,.002,5.223036000,910.000,1795.088705000,4567.000
791.000,73.863669000,.003,5.223036000,945.000,1815.089705000,4615.000
788.000,73.863669000,.003,5.223036000,1.000,868.089705000,3656.000
797.000,73.863669000,.003,5.223036000,964.000,1840.089705000,4630.000
794.000,73.863669000,.003,5.223036000,909.000,1782.089705000,4535.000
808.000,73.863669000,.003,5.223036000,1029.000,1916.089705000,4736.000
818.000,73.863669000,.003,5.223036000,963.000,1860.089705000,4653.000
796.000,73.863669000,.003,5.223036000,982.000,1857.089705000,4643.000
785.000,73.863669000,.003,5.223036000,920.000,1784.089705000,4570.000
789.000,73.863669000,.003,5.223036000,958.000,1826.089705000,4605.000
800.000,73.863669000,.003,5.223036000,917.000,1796.089705000,4599.000
786.000,73.863669000,.003,5.223036000,988.000,1853.089705000,4635.000
798.000,73.863669000,.003,5.223036000,973.000,1850.089705000,4603.000
798.000,73.863669000,.002,5.223036000,1426.000,2303.088705000,5054.000
786.000,73.863669000,.003,5.223036000,1.000,866.089705000,3644.000
797.000,73.863669000,.004,5.223036000,910.000,1786.090705000,4565.000
798.000,73.863669000,.002,5.223036000,977.000,1854.088705000,4635.000
804.000,73.863669000,.003,5.223036000,911.000,1794.089705000,4548.000
801.000,73.863669000,.002,5.223036000,980.000,1860.088705000,4620.000
810.000,73.863669000,.003,5.223036000,909.000,1798.089705000,4577.000
798.000,73.863669000,.003,5.223036000,960.000,1837.089705000,4604.000
785.000,73.863669000,.003,5.223036000,969.000,1833.089705000,4630.000
794.000,73.863669000,.002,5.223036000,972.000,1845.088705000,4597.000
800.000,73.863669000,.004,5.223036000,928.000,1807.090705000,4584.000
786.000,73.863669000,.002,5.223036000,948.000,1813.088705000,4548.000
797.000,73.863669000,.003,5.223036000,931.000,1807.089705000,4570.000
792.000,73.863669000,.003,5.223036000,983.000,1854.089705000,4634.000
811.000,73.863669000,.003,5.223036000,907.000,1797.089705000,4551.000
822.000,73.863669000,.003,5.223036000,986.000,1887.089705000,4651.000
817.000,73.863669000,.003,5.223036000,911.000,1807.089705000,4571.000
802.000,73.863669000,.002,5.223036000,955.000,1836.088705000,4598.000
791.000,73.863669000,.003,5.223036000,926.000,1796.089705000,4541.000
805.000,73.863669000,.002,5.223036000,965.000,1849.088705000,4604.000
791.000,73.863669000,.003,5.223036000,904.000,1774.089705000,4559.000
787.000,73.863669000,.003,5.223036000,955.000,1821.089705000,4597.000
799.000,73.863669000,.003,5.223036000,909.000,1787.089705000,4620.000
794.000,73.863669000,.002,5.223036000,925.000,1798.088705000,4623.000
