FileTransfer,GazeboRead,ReadFile,GazeboPublish,E2E_Latency,StepRuntime
301.282243000,786.000,.002,966.000,1752.002,1770.000
301.282243000,808.000,.003,931.000,1739.003,1759.000
301.282243000,777.000,.002,964.000,1741.002,1759.000
301.282243000,781.000,.002,936.000,1717.002,1733.000
301.282243000,777.000,.002,956.000,1733.002,1749.000
301.282243000,811.000,.002,960.000,1771.002,1792.000
301.282243000,805.000,.002,926.000,1731.002,1748.000
301.282243000,799.000,.002,925.000,1724.002,1743.000
301.282243000,769.000,.003,920.000,1689.003,1708.000
301.282243000,789.000,.004,910.000,1699.004,1720.000
301.282243000,801.000,.002,978.000,1779.002,1793.000
301.282243000,799.000,.002,962.000,1761.002,1779.000
301.282243000,778.000,.002,904.000,1682.002,1696.000
301.282243000,783.000,.002,928.000,1711.002,1728.000
301.282243000,782.000,.002,979.000,1761.002,1777.000
301.282243000,779.000,.002,923.000,1702.002,1720.000
301.282243000,801.000,.002,962.000,1763.002,1779.000
301.282243000,785.000,.005,938.000,1723.005,1745.000
301.282243000,772.000,.002,955.000,1727.002,1744.000
301.282243000,795.000,.002,912.000,1707.002,1724.000
301.282243000,784.000,.003,922.000,1706.003,1730.000
301.282243000,778.000,.003,1003.000,1781.003,1800.000
301.282243000,778.000,.002,973.000,1751.002,1774.000
301.282243000,795.000,.002,958.000,1753.002,1771.000
301.282243000,773.000,.002,917.000,1690.002,1706.000
301.282243000,787.000,.003,942.000,1729.003,1750.000
301.282243000,791.000,.002,950.000,1741.002,1758.000
301.282243000,826.000,.002,995.000,1821.002,1839.000
301.282243000,806.000,.002,946.000,1752.002,1769.000
301.282243000,790.000,.002,969.000,1759.002,1776.000
301.282243000,784.000,.002,917.000,1701.002,1718.000
301.282243000,769.000,.003,913.000,1682.003,1699.000
301.282243000,795.000,.002,983.000,1778.002,1795.000
301.282243000,789.000,.002,934.000,1723.002,1741.000
301.282243000,788.000,.003,988.000,1776.003,1793.000
301.282243000,779.000,.002,1001.000,1780.002,1798.000
301.282243000,794.000,.002,1.000,795.002,811.000
301.282243000,803.000,.002,939.000,1742.002,1761.000
301.282243000,807.000,.004,958.000,1765.004,1786.000
301.282243000,785.000,.002,933.000,1718.002,1736.000
301.282243000,797.000,.002,982.000,1779.002,1797.000
301.282243000,788.000,.002,989.000,1777.002,1796.000
301.282243000,793.000,.002,993.000,1786.002,1805.000
301.282243000,789.000,.003,988.000,1777.003,1797.000
301.282243000,791.000,.002,962.000,1753.002,1771.000
301.282243000,778.000,.002,1035.000,1813.002,1832.000
301.282243000,794.000,.002,919.000,1713.002,1732.000
301.282243000,797.000,.002,942.000,1739.002,1760.000
301.282243000,795.000,.003,983.000,1778.003,1800.000
301.282243000,783.000,.002,962.000,1745.002,1763.000
301.282243000,794.000,.002,1016.000,1810.002,1829.000
301.282243000,786.000,.002,996.000,1782.002,1801.000
301.282243000,777.000,.002,944.000,1721.002,1739.000
301.282243000,791.000,.002,941.000,1732.002,1750.000
301.282243000,773.000,.003,957.000,1730.003,1747.000
301.282243000,791.000,.002,915.000,1706.002,1726.000
301.282243000,788.000,.002,1022.000,1810.002,1828.000
301.282243000,787.000,.004,988.000,1775.004,1798.000
301.282243000,782.000,.002,947.000,1729.002,1744.000
301.282243000,801.000,.002,935.000,1736.002,1754.000
301.282243000,789.000,.003,994.000,1783.003,1801.000
301.282243000,780.000,.004,955.000,1735.004,1757.000
301.282243000,771.000,.003,893.000,1664.003,1682.000
301.282243000,789.000,.001,899.000,1688.001,1706.000
301.282243000,776.000,.002,2.000,778.002,798.000
301.282243000,780.000,.002,902.000,1682.002,1701.000
301.282243000,792.000,.002,971.000,1763.002,1779.000
301.282243000,790.000,.002,891.000,1681.002,1700.000
301.282243000,781.000,.004,900.000,1681.004,1701.000
301.282243000,800.000,.003,907.000,1707.003,1726.000
301.282243000,789.000,.003,916.000,1705.003,1725.000
301.282243000,793.000,.002,944.000,1737.002,1755.000
301.282243000,786.000,.002,909.000,1695.002,1712.000
301.282243000,793.000,.002,958.000,1751.002,1769.000
301.282243000,778.000,.001,900.000,1678.001,1695.000
301.282243000,746.000,.002,1458.000,2204.002,2219.000
301.282243000,780.000,.003,923.000,1703.003,1720.000
301.282243000,782.000,.002,963.000,1745.002,1763.000
301.282243000,794.000,.003,917.000,1711.003,1732.000
301.282243000,783.000,.003,923.000,1706.003,1723.000
301.282243000,782.000,.003,977.000,1759.003,1777.000
301.282243000,795.000,.005,955.000,1750.005,1770.000
301.282243000,771.000,.002,907.000,1678.002,1697.000
301.282243000,787.000,.003,901.000,1688.003,1706.000
301.282243000,782.000,.003,890.000,1672.003,1692.000
301.282243000,789.000,.003,948.000,1737.003,1755.000
301.282243000,788.000,.002,940.000,1728.002,1746.000
301.282243000,779.000,.002,899.000,1678.002,1699.000
301.282243000,785.000,.004,895.000,1680.004,1701.000
301.282243000,772.000,.003,920.000,1692.003,1711.000
301.282243000,784.000,.002,928.000,1712.002,1731.000
301.282243000,781.000,.004,967.000,1748.004,1768.000
301.282243000,779.000,.003,890.000,1669.003,1688.000
301.282243000,787.000,.003,903.000,1690.003,1709.000
301.282243000,777.000,.003,935.000,1712.003,1731.000
301.282243000,788.000,.003,948.000,1736.003,1754.000
301.282243000,782.000,.002,916.000,1698.002,1717.000
301.282243000,789.000,.002,922.000,1711.002,1727.000
301.282243000,779.000,.003,969.000,1748.003,1768.000
301.282243000,781.000,.002,928.000,1709.002,1726.000
301.282243000,780.000,.003,968.000,1748.003,1768.000
301.282243000,789.000,.004,966.000,1755.004,1776.000
301.282243000,788.000,.005,902.000,1690.005,1712.000
301.282243000,783.000,.003,936.000,1719.003,1741.000
301.282243000,777.000,.001,1007.000,1784.001,1801.000
301.282243000,797.000,.004,946.000,1743.004,1763.000
301.282243000,781.000,.002,904.000,1685.002,1701.000
301.282243000,786.000,.002,1023.000,1809.002,1828.000
301.282243000,783.000,.002,968.000,1751.002,1768.000
301.282243000,789.000,.002,1.000,790.002,811.000
301.282243000,766.000,.004,927.000,1693.004,1714.000
301.282243000,780.000,.003,969.000,1749.003,1767.000
301.282243000,783.000,.003,933.000,1716.003,1734.000
301.282243000,782.000,.003,964.000,1746.003,1764.000
301.282243000,789.000,.003,1028.000,1817.003,1838.000
301.282243000,781.000,.002,965.000,1746.002,1766.000
301.282243000,783.000,.003,1024.000,1807.003,1825.000
301.282243000,801.000,.003,977.000,1778.003,1797.000
301.282243000,779.000,.002,956.000,1735.002,1753.000
301.282243000,781.000,.002,920.000,1701.002,1720.000
301.282243000,787.000,.004,957.000,1744.004,1764.000
301.282243000,780.000,.002,1.000,781.002,797.000
301.282243000,785.000,.002,907.000,1692.002,1709.000
301.282243000,784.000,.003,915.000,1699.003,1719.000
301.282243000,798.000,.002,1020.000,1818.002,1839.000
301.282243000,795.000,.003,977.000,1772.003,1791.000
301.282243000,772.000,.002,959.000,1731.002,1748.000
301.282243000,798.000,.002,1039.000,1837.002,1854.000
301.282243000,802.000,.002,974.000,1776.002,1793.000
301.282243000,778.000,.003,964.000,1742.003,1764.000
301.282243000,794.000,.001,955.000,1749.001,1768.000
301.282243000,782.000,.003,907.000,1689.003,1708.000
301.282243000,796.000,.002,932.000,1728.002,1747.000
301.282243000,772.000,.002,1015.000,1787.002,1805.000
301.282243000,772.000,.003,949.000,1721.003,1740.000
301.282243000,783.000,.003,896.000,1679.003,1698.000
301.282243000,783.000,.002,955.000,1738.002,1757.000
301.282243000,786.000,.004,994.000,1780.004,1801.000
301.282243000,778.000,.002,971.000,1749.002,1766.000
301.282243000,777.000,.002,935.000,1712.002,1734.000
301.282243000,796.000,.002,982.000,1778.002,1799.000
301.282243000,785.000,.001,989.000,1774.001,1795.000
301.282243000,786.000,.002,964.000,1750.002,1770.000
301.282243000,785.000,.005,1024.000,1809.005,1831.000
